FLIGHT_MONTH,YEAR,MONTH,STATE_NAME,STATE_CODE,CO2_QTY_TONNES,TF,NOTE
2024-01-01,2024,1,ALBANIA,LA,31744.03322,2361,FALSE
2024-01-01,2024,1,ARMENIA,UD,32008.70176,1483,FALSE
2024-01-01,2024,1,AUSTRIA,LO,192993.48836,11713,FALSE
2024-01-01,2024,1,BELGIUM,EB,386029.27672,10863,FALSE
2024-01-01,2024,1,BOSNIA AND HERZEGOVINA,LQ,6328.20712,647,FALSE
2024-01-01,2024,1,BULGARIA,LB,49526.46232,3000,FALSE
2024-01-01,2024,1,CANARY ISLANDS,GC,348086.50958,18282,FALSE
2024-01-01,2024,1,CROATIA,LD,19201.49466,2527,FALSE
2024-01-01,2024,1,CYPRUS,LC,54589.77204,2590,FALSE
2024-01-01,2024,1,CZECHIA,LK,74129.34186,4545,FALSE
2024-01-01,2024,1,DENMARK,EK,188800.85168,11033,TRUE
2024-01-01,2024,1,ESTONIA,EE,13379.29976,1475,FALSE
2024-01-01,2024,1,FINLAND,EF,185809.33448,8414,FALSE
2024-01-01,2024,1,FRANCE,LF,1514482.06686,58706,FALSE
2024-01-01,2024,1,GEORGIA,UG,46037.2974,2110,FALSE
2024-01-01,2024,1,GERMANY,ED,1968543.1829,63889,FALSE
2024-01-01,2024,1,GREECE,LG,134655.1985,12911,FALSE
2024-01-01,2024,1,HUNGARY,LH,87409.09458,4605,FALSE
2024-01-01,2024,1,ICELAND,BI,27129.99176,1529,FALSE
2024-01-01,2024,1,IRELAND,EI,199839.33544,10282,FALSE
2024-01-01,2024,1,ITALY,LI,985180.15846,55830,FALSE
2024-01-01,2024,1,KOSOVO,BK,15550.83084,1068,FALSE
2024-01-01,2024,1,LATVIA,EV,26472.74796,2105,FALSE
2024-01-01,2024,1,LITHUANIA,EY,26801.49796,2089,FALSE
2024-01-01,2024,1,LUXEMBOURG,EL,140705.42338,2409,FALSE
2024-01-01,2024,1,MALTA,LM,32780.04344,2139,FALSE
2024-01-01,2024,1,"MOLDOVA, REPUBLIC OF",LU,14109.18198,921,FALSE
2024-01-01,2024,1,MONACO,LN,9.495800000000001,15,FALSE
2024-01-01,2024,1,MONTENEGRO,LY,4627.08504,594,FALSE
2024-01-01,2024,1,NETHERLANDS,EH,798788.04462,23090,FALSE
2024-01-01,2024,1,NORTH MACEDONIA,LW,13275.33316,958,FALSE
2024-01-01,2024,1,NORWAY,EN,184846.74266,23686,TRUE
2024-01-01,2024,1,POLAND,EP,268384.9993,16464,FALSE
2024-01-01,2024,1,PORTUGAL,LP,384067.13644,16329,TRUE
2024-01-01,2024,1,ROMANIA,LR,109089.19582,7753,FALSE
2024-01-01,2024,1,SERBIA,LY,44560.32942,3448,FALSE
2024-01-01,2024,1,SLOVAKIA,LZ,8084.5393,870,FALSE
2024-01-01,2024,1,SLOVENIA,LJ,5867.21328,809,FALSE
2024-01-01,2024,1,SPAIN,LE,1227166.53026,56417,FALSE
2024-01-01,2024,1,SWEDEN,ES,165836.26926,14289,FALSE
2024-01-01,2024,1,SWITZERLAND,LS,423966.86496,18717,FALSE
2024-01-01,2024,1,TÜRKIYE,LT,1345853.82612,49354,FALSE
2024-01-01,2024,1,UNITED KINGDOM,EG,2592513.67686,77122,TRUE
2024-02-01,2024,2,ALBANIA,LA,28444.99912,2052,FALSE
